A person is doing Head flexion with static pace, low intensity, and single temporal pattern.
A person is doing Head axial rotation right with slow pace, high intensity, and single temporal pattern.
A person is doing Head axial rotation right with slow pace, high intensity, and repeated temporal pattern.
A person is doing Head axial rotation right with slow pace, high intensity, and alternating temporal pattern.
A person is doing Head axial rotation right with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Head axial rotation right with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Head axial rotation right with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Head axial rotation right with slow pace, high intensity, and sequential temporal pattern.
A person is doing Head axial rotation right with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Head axial rotation right with slow pace, high intensity, and smooth temporal pattern.
A person is doing Head axial rotation right with fast pace, low intensity, and single temporal pattern.
A person is doing Head axial rotation right with fast pace, low intensity, and repeated temporal pattern.
A person is doing Head axial rotation right with fast pace, low intensity, and alternating temporal pattern.
A person is doing Head axial rotation right with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Head axial rotation right with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Head axial rotation right with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Head axial rotation right with fast pace, low intensity, and sequential temporal pattern.
A person is doing Head axial rotation right with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Head axial rotation right with fast pace, low intensity, and smooth temporal pattern.
A person is doing Head axial rotation right with fast pace, high intensity, and single temporal pattern.
A person is doing Head axial rotation right with fast pace, high intensity, and repeated temporal pattern.
A person is doing Head axial rotation right with fast pace, high intensity, and alternating temporal pattern.
A person is doing Head axial rotation right with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Head axial rotation right with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Head axial rotation right with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Head axial rotation right with fast pace, high intensity, and sequential temporal pattern.
A person is doing Head axial rotation right with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Head axial rotation right with fast pace, high intensity, and smooth temporal pattern.
A person is doing Head hold/static with static pace, low intensity, and single temporal pattern.
A person is doing Head hold/static with static pace, low intensity, and repeated temporal pattern.
A person is doing Head hold/static with static pace, low intensity, and alternating temporal pattern.
A person is doing Head hold/static with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Head hold/static with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Head hold/static with static pace, low intensity, and synchronized temporal pattern.
A person is doing Head hold/static with static pace, low intensity, and sequential temporal pattern.
A person is doing Head hold/static with static pace, low intensity, and abrupt temporal pattern.
A person is doing Head hold/static with static pace, low intensity, and smooth temporal pattern.
A person is doing Head hold/static with static pace, high intensity, and single temporal pattern.
